Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
9006;12100155734;"Ethnography and Education";journal;"17457823, 17457831";"Routledge";No;No;0,554;Q1;29;30;100;1302;128;97;0,87;43,40;68,00;0;United Kingdom;Western Europe;"Routledge";"2010-2026";"Cultural Studies (Q1); Education (Q2); Gender Studies (Q2)";"Social Sciences"
9007;21100870605;"European Journal of Cultural and Political Sociology";journal;"23254815, 23254823";"Taylor and Francis Ltd.";No;No;0,554;Q1;19;21;61;926;72;49;0,73;44,10;51,72;4;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2025";"Cultural Studies (Q1); Sociology and Political Science (Q1)";"Social Sciences"
9008;21100403126;"European Politics and Society";journal;"23745126, 23745118";"Taylor and Francis Ltd.";No;No;0,554;Q1;38;45;112;2546;215;109;2,13;56,58;38,03;17;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2026";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
9009;22875;"Journal of Forestry";journal;"00221201, 19383746";"Springer International Publishing";No;No;0,554;Q1;91;64;165;2482;349;145;1,65;38,78;30,54;17;Switzerland;Western Europe;"Springer International Publishing";"1919, 1930, 1941, 1963, 1969-1990, 1992-2026";"Forestry (Q1); Plant Science (Q2)";"Agricultural and Biological Sciences"
9010;21100900336;"ACM SIGBED Review";journal;"15513688";"Association for Computing Machinery";No;No;0,554;Q2;13;0;65;0;122;61;1,85;0,00;0,00;0;United States;Northern America;"Association for Computing Machinery";"2009, 2011, 2017-2020";"Computer Science (miscellaneous) (Q2); Engineering (miscellaneous) (Q2)";"Computer Science; Engineering"
9011;17127;"Adult Education Quarterly";journal;"07417136, 15523047";"SAGE Publications Ltd";No;No;0,554;Q2;63;21;54;995;107;51;1,79;47,38;60,47;4;United Kingdom;Western Europe;"SAGE Publications Ltd";"1950-2026";"Education (Q2); E-learning (Q2)";"Social Sciences"
9012;21100429293;"Advances in Civil Engineering Materials";journal;"23791357, 21653984";"ASTM International";No;No;0,554;Q2;30;28;206;1238;296;206;1,49;44,21;23,68;0;United States;Northern America;"ASTM International";"2012-2025";"Ceramics and Composites (Q2); Civil and Structural Engineering (Q2); Materials Chemistry (Q2); Mechanics of Materials (Q2); Metals and Alloys (Q2); Polymers and Plastics (Q2)";"Engineering; Materials Science"
9013;21100457325;"African Journalism Studies";journal;"23743689, 23743670";"Taylor and Francis Ltd.";No;No;0,554;Q2;31;38;83;1759;144;76;1,76;46,29;42,11;2;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2015-2026";"Communication (Q2)";"Social Sciences"
9014;17300154737;"Banach Journal of Mathematical Analysis";journal;"26622033, 17358787";"Springer International Publishing";Yes;No;0,554;Q2;30;68;165;1998;180;165;1,17;29,38;16,67;0;Switzerland;Western Europe;"Springer International Publishing";"2007-2026";"Algebra and Number Theory (Q2); Analysis (Q2)";"Mathematics"
9015;21100977421;"Condensed Matter";journal;"24103896";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,554;Q2;23;52;222;2300;434;214;2,16;44,23;29,24;0;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2016-2025";"Condensed Matter Physics (Q2); Electronic, Optical and Magnetic Materials (Q2)";"Materials Science; Physics and Astronomy"
9016;12575;"Food and Nutrition Bulletin";journal;"03795721, 15648265";"SAGE Publications Inc.";No;No;0,554;Q2;94;51;160;2305;348;143;1,59;45,20;51,02;20;United States;Northern America;"SAGE Publications Inc.";"1982-2026";"Food Science (Q2); Geography, Planning and Development (Q2); Nutrition and Dietetics (Q3)";"Agricultural and Biological Sciences; Nursing; Social Sciences"
9017;21100420109;"IEEE Transactions on Multi-Scale Computing Systems";journal;"23327766";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,554;Q2;30;0;77;0;148;74;0,00;0,00;0,00;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2015-2018";"Control and Systems Engineering (Q2); Hardware and Architecture (Q2); Information Systems (Q2)";"Computer Science; Engineering"
9018;17368;"IEEE Transactions on Nuclear Science";journal;"15581578, 00189499";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,554;Q2;144;337;1034;10154;2098;1012;1,91;30,13;20,06;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1963-2026";"Electrical and Electronic Engineering (Q2); Nuclear and High Energy Physics (Q2); Nuclear Energy and Engineering (Q2)";"Energy; Engineering; Physics and Astronomy"
9019;19700175280;"IIMB Management Review";journal;"09703896";"Elsevier Ltd";Yes;No;0,554;Q2;41;32;102;1640;265;90;2,10;51,25;32,08;2;United Kingdom;Western Europe;"Elsevier Ltd";"2010-2025";"Business, Management and Accounting (miscellaneous) (Q2); Economics and Econometrics (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
9020;22109;"Intervention in School and Clinic";journal;"10534512, 15384810";"SAGE Publications Ltd";No;No;0,554;Q2;44;49;137;1113;197;131;0,86;22,71;74,26;7;United States;Northern America;"SAGE Publications Ltd";"1965-2026";"Clinical Psychology (Q2); Developmental and Educational Psychology (Q2); Education (Q2)";"Psychology; Social Sciences"
9021;18519;"Journal of Asthma";journal;"15324303, 02770903";"Taylor &amp; Francis Group LLC Philadelphia";No;No;0,554;Q2;83;194;486;6224;1020;469;1,86;32,08;48,28;29;United States;Northern America;"Taylor &amp; Francis Group LLC Philadelphia";"1963-1976, 1978-2026";"Medicine (miscellaneous) (Q2); Pediatrics, Perinatology and Child Health (Q2); Immunology and Allergy (Q3); Pulmonary and Respiratory Medicine (Q3)";"Medicine"
9022;15072;"Journal of Information Technology in Construction";journal;"18744753";"International Council for Research and Innovation in Building and Construction";Yes;Yes;0,554;Q2;68;56;83;3543;342;82;4,66;63,27;23,84;0;Canada;Northern America;"International Council for Research and Innovation in Building and Construction";"1995-2025";"Building and Construction (Q2); Civil and Structural Engineering (Q2); Computer Science Applications (Q2)";"Computer Science; Engineering"
9023;4700152754;"Journal of Nonprofit and Public Sector Marketing";journal;"15406997, 10495142";"Routledge";No;No;0,554;Q2;44;23;70;1518;140;69;1,45;66,00;46,94;0;United States;Northern America;"Routledge";"1993-2026";"Marketing (Q2)";"Business, Management and Accounting"
9024;94353;"Weed Research";journal;"00431737, 13653180";"Wiley-Blackwell Publishing Ltd";No;No;0,554;Q2;92;50;143;2376;406;139;2,18;47,52;26,79;5;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1961-2026";"Agronomy and Crop Science (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Plant Science (Q2)";"Agricultural and Biological Sciences"
9025;19700174965;"Breast Cancer: Basic and Clinical Research";journal;"11782234";"SAGE Publications Ltd";Yes;No;0,554;Q3;40;25;79;1180;195;78;2,30;47,20;50,35;1;United Kingdom;Western Europe;"SAGE Publications Ltd";"2008-2026";"Cancer Research (Q3); Oncology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
9026;17513;"Glycoconjugate Journal";journal;"02820080, 15734986";"Springer";No;No;0,554;Q3;102;65;150;3272;438;145;2,77;50,34;48,63;2;United States;Northern America;"Springer";"1984-2026";"Biochemistry (Q3); Cell Biology (Q3); Molecular Biology (Q3)";"Biochemistry, Genetics and Molecular Biology"
9027;16436;"JRAAS - Journal of the Renin-Angiotensin-Aldosterone System";journal;"14703203, 17528976";"SAGE Publications Ltd";Yes;No;0,554;Q3;54;25;88;1244;238;77;3,03;49,76;40,44;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"2000-2026";"Endocrinology (Q3); Internal Medicine (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
9028;21100900274;"AEM Education and Training";journal;"24725390";"John Wiley &amp; Sons Inc.";No;No;0,553;Q1;30;237;192;5752;451;145;2,27;24,27;47,04;5;United States;Northern America;"John Wiley &amp; Sons Inc.";"2017-2026";"Emergency Nursing (Q1); Education (Q2); Emergency Medicine (Q2)";"Medicine; Nursing; Social Sciences"
9029;13699;"Biology and Philosophy";journal;"15728404, 01693867";"Springer Science and Business Media B.V.";No;No;0,553;Q1;67;54;161;3297;313;158;1,97;61,06;20,99;0;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"1986-2026";"Agricultural and Biological Sciences (miscellaneous) (Q1); History and Philosophy of Science (Q1); Philosophy (Q1)";"Agricultural and Biological Sciences; Arts and Humanities"
9030;19318;"Group Decision and Negotiation";journal;"09262644, 15729907";"Springer Netherlands";No;No;0,553;Q1;75;60;142;2951;333;137;2,18;49,18;33,33;2;Netherlands;Western Europe;"Springer Netherlands";"1992-2026";"Arts and Humanities (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Decision Sciences (miscellaneous) (Q2); Management of Technology and Innovation (Q2); Strategy and Management (Q2)";"Arts and Humanities; Business, Management and Accounting; Decision Sciences; Social Sciences"
9031;28240;"Journal of Pediatric Nursing";journal;"15328449, 08825963";"W.B. Saunders";No;No;0,553;Q1;83;292;628;9739;1443;605;2,16;33,35;75,47;35;United States;Northern America;"W.B. Saunders";"1986-2026";"Pediatrics (Q1)";"Nursing"
9032;21100327124;"Journal of Primary Care and Community Health";journal;"21501327, 21501319";"Sage Periodicals Press";Yes;No;0,553;Q1;48;251;294;7266;596;274;2,02;28,95;60,37;54;United States;Northern America;"Sage Periodicals Press";"2010-2026";"Community and Home Care (Q1); Public Health, Environmental and Occupational Health (Q2)";"Medicine; Nursing"
9033;21100860908;"Linguistics Vanguard";journal;"2199174X";"De Gruyter Mouton";No;No;0,553;Q1;27;75;104;3134;144;102;1,17;41,79;41,74;0;Germany;Western Europe;"De Gruyter Mouton";"2015-2026";"Linguistics and Language (Q1)";"Social Sciences"
9034;26091;"Wood Science and Technology";journal;"00437719, 14325225";"Springer Science and Business Media Deutschland GmbH";No;No;0,553;Q1;97;99;259;4223;788;257;3,02;42,66;33,58;0;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"1967-2026";"Forestry (Q1); Industrial and Manufacturing Engineering (Q2); Materials Science (miscellaneous) (Q2); Plant Science (Q2)";"Agricultural and Biological Sciences; Engineering; Materials Science"
9035;27472;"Annals of Anatomy";journal;"16180402, 09409602";"Elsevier GmbH";No;No;0,553;Q2;71;129;324;6321;909;320;2,72;49,00;38,82;1;Germany;Western Europe;"Elsevier GmbH";"1992-2026";"Anatomy (Q2); Medicine (miscellaneous) (Q2); Developmental Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
9036;21101028344;"Art of Discrete and Applied Mathematics";journal;"25909770";"University of Primorska";No;No;0,553;Q2;9;37;63;622;42;58;0,45;16,81;14,75;0;Slovenia;Eastern Europe;"University of Primorska";"2018-2026";"Applied Mathematics (Q2); Computational Theory and Mathematics (Q2); Discrete Mathematics and Combinatorics (Q2)";"Computer Science; Mathematics"
9037;24396;"Chinese Journal of Dental Research";journal;"14626446, 18675646";"Quintessence Publishing Co. Inc.";No;No;0,553;Q2;33;22;94;0;230;91;1,26;0,00;47,86;0;United States;Northern America;"Quintessence Publishing Co. Inc.";"1998-2000, 2010-2025";"Medicine (miscellaneous) (Q2)";"Medicine"
9038;13715;"Entropy";journal;"10994300";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,553;Q2;123;1694;3662;82606;10719;3574;3,00;48,76;25,73;17;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"1999-2026";"Electrical and Electronic Engineering (Q2); Information Systems (Q2); Mathematical Physics (Q2); Physics and Astronomy (miscellaneous) (Q2)";"Computer Science; Engineering; Mathematics; Physics and Astronomy"
9039;25256;"European Journal of Inorganic Chemistry";journal;"10990682, 14341948";"Wiley-VCH Verlag";No;No;0,553;Q2;153;553;1739;37704;4217;1641;2,35;68,18;30,39;0;Germany;Western Europe;"Wiley-VCH Verlag";"1877-1878, 1882-1891, 1894-1897, 1902, 1904, 1906, 1911, 1915, 1917, 1919-1944, 1962-1963, 1975, 1977-1985, 1987-1988, 1990-1994, 1996-2026";"Inorganic Chemistry (Q2)";"Chemistry"
9040;12100154903;"Food Science and Biotechnology";journal;"20926456, 12267708";"The Korean Society of Food Science and Technology";No;No;0,553;Q2;77;167;589;6900;1931;589;3,11;41,32;44,81;7;South Korea;Asiatic Region;"The Korean Society of Food Science and Technology";"2007-2026";"Applied Microbiology and Biotechnology (Q2); Biotechnology (Q2); Food Science (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
9041;19600157213;"GAMM Mitteilungen";journal;"09367195, 15222608";"John Wiley and Sons Inc";No;No;0,553;Q2;28;19;60;1488;104;52;2,08;78,32;14,75;0;Germany;Western Europe;"John Wiley and Sons Inc";"2009-2025";"Applied Mathematics (Q2); Materials Science (miscellaneous) (Q2); Physics and Astronomy (miscellaneous) (Q2)";"Materials Science; Mathematics; Physics and Astronomy"
9042;29037;"Geriatric Nursing";journal;"15283984, 01974572";"Elsevier Inc.";No;No;0,553;Q2;62;234;378;9639;801;360;1,87;41,19;69,06;30;United States;Northern America;"Elsevier Inc.";"1980-2026";"Gerontology (Q2); Medicine (miscellaneous) (Q2)";"Medicine; Nursing"
9043;21100241624;"International Journal of Genomics";journal;"2314436X, 23144378";"John Wiley and Sons Ltd";Yes;No;0,553;Q2;43;45;203;2705;600;199;2,87;60,11;36,21;1;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2013-2026";"Pharmaceutical Science (Q2); Biochemistry (Q3); Genetics (Q3); Molecular Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
9044;4700152208;"International Journal of Humanoid Robotics";journal;"17936942, 02198436";"World Scientific Publishing Co. Pte Ltd";No;No;0,553;Q2;45;24;115;858;221;109;1,73;35,75;18,46;0;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"2004-2026";"Mechanical Engineering (Q2); Artificial Intelligence (Q3)";"Computer Science; Engineering"
9045;4700152646;"International Journal of Information Technology and Decision Making";journal;"17936845, 02196220";"World Scientific Publishing Co. Pte Ltd";Yes;No;0,553;Q2;60;63;200;3796;557;182;3,16;60,25;28,05;0;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"2002-2003, 2005-2026";"Computer Science (miscellaneous) (Q2)";"Computer Science"
9046;16070;"Journal of Biomaterials Science, Polymer Edition";journal;"15685624, 09205063";"Taylor and Francis Ltd.";No;No;0,553;Q2;115;111;393;6450;1499;391;3,61;58,11;41,29;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1989, 1991-2026";"Biomedical Engineering (Q2); Biophysics (Q2); Bioengineering (Q3); Biomaterials (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Materials Science"
9047;15500;"Journal of Family and Economic Issues";journal;"15733475, 10580476";"Springer International Publishing AG";No;No;0,553;Q2;69;67;150;3553;399;143;2,34;53,03;61,18;17;United States;Northern America;"Springer International Publishing AG";"1992-2026";"Economics and Econometrics (Q2); Social Psychology (Q2)";"Economics, Econometrics and Finance; Psychology"
9048;28347;"Journal of Graph Algorithms and Applications";journal;"15261719";"Brown University";Yes;Yes;0,553;Q2;41;31;86;716;68;81;0,65;23,10;17,65;0;United States;Northern America;"Brown University";"1997-2026";"Computational Theory and Mathematics (Q2); Computer Science Applications (Q2); Computer Science (miscellaneous) (Q2); Geometry and Topology (Q2); Theoretical Computer Science (Q3)";"Computer Science; Mathematics"
9049;13788;"Powder Diffraction";journal;"08857156, 19457413";"Cambridge University Press";No;No;0,553;Q2;56;53;184;936;274;164;1,88;17,66;30,00;0;United States;Northern America;"Cambridge University Press";"1986-2025";"Condensed Matter Physics (Q2); Instrumentation (Q2); Materials Science (miscellaneous) (Q2); Radiation (Q2)";"Materials Science; Physics and Astronomy"
9050;21100794599;"Special Matrices";journal;"23007451";"Walter de Gruyter GmbH";Yes;No;0,553;Q2;14;26;78;444;52;78;0,62;17,08;25,00;0;Poland;Eastern Europe;"Walter de Gruyter GmbH";"2013-2025";"Algebra and Number Theory (Q2); Geometry and Topology (Q2)";"Mathematics"
9051;19700188155;"Tropical Conservation Science";journal;"19400829";"SAGE Publications Inc.";Yes;No;0,553;Q2;48;38;213;2317;445;202;1,76;60,97;34,27;8;United States;Northern America;"SAGE Publications Inc.";"2010-2026";"Ecology (Q2); Nature and Landscape Conservation (Q2)";"Environmental Science"
9052;21100241788;"Clinical Plasma Medicine";journal;"22128166";"Elsevier GmbH";No;No;0,552;Q1;37;0;42;0;211;42;3,27;0,00;0,00;0;Germany;Western Europe;"Elsevier GmbH";"2013-2020";"Complementary and Alternative Medicine (Q1); Dermatology (Q2); Surgery (Q2)";"Medicine"
9053;21101021079;"Corpus Pragmatics";journal;"25099515";"Springer Science + Business Media";No;No;0,552;Q1;13;19;52;887;73;48;1,61;46,68;58,82;0;Switzerland;Western Europe;"Springer Science + Business Media";"2017-2026";"Linguistics and Language (Q1); Computer Science Applications (Q2)";"Computer Science; Social Sciences"
9054;5800209860;"Educational Philosophy and Theory";journal;"14695812, 00131857";"Taylor and Francis Ltd.";No;No;0,552;Q1;74;135;648;4446;794;498;1,48;32,93;38,95;9;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1969-2026";"History and Philosophy of Science (Q1); Education (Q2)";"Arts and Humanities; Social Sciences"
9055;21100329538;"International Journal of Healthcare Management";journal;"20479700, 20479719";"Maney Publishing";No;No;0,552;Q1;36;183;202;6737;598;198;2,80;36,81;39,14;8;United Kingdom;Western Europe;"Maney Publishing";"2010, 2012-2026";"Leadership and Management (Q1); Health Policy (Q2)";"Medicine; Nursing"
9056;20053;"International Journal of Public Sector Management";journal;"09513558";"Emerald Group Publishing Ltd.";No;No;0,552;Q1;74;42;132;2559;316;130;2,33;60,93;32,97;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1970, 1988-2026";"Political Science and International Relations (Q1); Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q2); Public Administration (Q2)";"Environmental Science; Social Sciences"
